[0. 0. 0.]
[  122.17706867 28347.68720492  1819.73500675]
[  122.1769172  28487.27291617  1819.736078  ]
[  122.17705075 28610.33846196  1819.73513353]
[  122.17685571 28790.06060032  1819.73651282]
[  122.17682063 28810.7043727   1819.73666316]
[  122.17649323 28975.82287971  1819.73776549]
[  122.17630357 29086.39540008  1819.7385073 ]
[  122.17627814 29101.03095266  1819.73860216]
[  122.17630224 29114.9016739   1819.73851226]
[0. 0. 0.]
[   0.         -127.47929797  106.96783191]
[  -1.70563059 -152.21589022  128.88175764]
[   6.85236474 -276.33165228   18.9287146 ]
[   3.54807289 -324.25347095   61.38222497]
[ -33.22282672 -604.3467995   315.48550414]
[ -48.85853029 -705.8143123   424.16856412]
[ -77.52997545 -835.66586732  564.12359836]
[ -90.09306086 -882.67170476  623.14149423]
[ -83.27617949 -908.17763796  591.11767353]
[ -69.05398218 -946.76219538  540.40358658]
[  -93.32204342 -1012.60099524   626.93962183]
[ -102.98240696 -1043.85233023   671.79554413]
[ -125.48558467 -1104.86599645   769.55584518]
[ -237.76634649 -1364.02972344  1181.7170985 ]
[ -250.10322807 -1385.11906089  1215.91706433]
[ -224.28214295 -1429.25903046  1144.33655807]
[ -222.8488981  -1431.29626597  1140.57487605]
[ -153.27344567 -1555.79606022   900.6589601 ]
[ -130.6355406  -1594.24654303   823.8104728 ]
[ -109.2160954  -1630.95028178   745.64118893]
[ -110.22085474 -1636.74681208   731.9176679 ]
[ -116.66882617 -1655.33120197   684.72847615]
[ -119.91597432 -1663.44206117   663.10701615]
[ -129.82837883 -1732.68380307   445.77888856]
[ -130.65345177 -1769.63985038   317.49588632]
[ -126.79195969 -1942.60090313   917.88377221]
[ -138.95727805 -2005.6919636   1150.11499111]
[ -147.11053087 -2029.99267105  1244.5909317 ]
[ -149.37697747 -2055.88071223  1353.97400399]
[ -155.72975391 -2071.71755448  1442.99751591]
[ -122.76272918 -2153.90108092   981.01993034]
[ -118.02784066 -2161.72070384   905.41113452]
[  -87.99409305 -2140.92074079   704.39383992]
[  -66.66498723 -2112.12892745   552.17561178]
[  -66.08604273 -2110.71582227   546.05268808]
[  -58.49554008 -2083.97075825   449.7432706 ]
[  -58.27436578 -2078.84467305   432.38895595]
[  -58.88298207 -2064.73897036   480.14368359]
[  -58.95041695 -2061.0438784    489.87152087]
[  -58.09053905 -2037.78845389   549.84051877]
[  -58.73641291 -2020.32077546   504.7964401 ]
[  -58.69408334 -2015.30110462   493.46825137]
[  -58.90524924 -2005.36728442   472.01040769]
[  -64.6129405  -1984.75784131   436.09437211]
[  -50.18489447 -1932.66077083   526.88383333]
[  -10.43062323 -1788.65162651   766.96705517]
[  -19.8217     -1754.63261706   710.25264698]
[  -20.25201879 -1753.06408056   707.8088602 ]
[  -13.03501441 -1726.7576888    748.79433452]
[  -39.52849473 -1630.18744498   598.33746898]
[   -3.07989851 -1497.33023702   805.32958462]
[   15.22615991 -1435.18768154   899.38385045]
[   25.4595951  -1391.4552825    965.37875241]
[   33.01698202 -1354.00635288  1013.888008  ]
[   25.21200101 -1315.33052648   963.78949873]
[    4.76845139 -1241.65900407   873.90413742]
[ 2.04020083e-02 -1.22615899e+03  8.57280810e+02]
[  -16.37733974 -1143.13237653   781.47113291]
[ -63.97862122 -866.0582747   541.22407819]
[ -80.65201306 -780.57876565  471.54298313]
[ -63.95403884 -694.97323005  541.32681237]
[ -60.7635364  -682.98736879  549.9789424 ]
[ -48.6460798  -638.40591859  579.71750975]
[ -38.34644748 -598.0422839   606.65075415]
[ -34.04720045 -576.83210456  619.05406548]
[ -24.28261606 -521.92346754  648.8744254 ]
[ -17.71720742 -479.64163621  671.15734078]
[ -25.05714564 -432.37176367  646.24568164]
[  11.36484822 -197.81079657  769.8614763 ]
[  16.27564317 -154.73440674  791.73112227]
[  18.68735817 -135.29974861  801.47518678]
[ 28.673245   -58.70401089 838.57878471]
[ 33.3691872  -19.3105081  857.52757034]
[ 34.8616868    2.18708359 866.58308832]
[ 38.05696286  46.42346184 884.33029029]
[ 45.41293521 223.60013505 954.95541267]
[ 46.19584663 239.41711791 961.18877552]
[ 45.97609151 243.856781   959.4391352 ]
[ 36.37537432 444.59389741 884.55180956]
[ 29.53038708 637.27991383 814.05277146]
[ 30.76657407 943.23935718 712.56524865]
[ 30.614077   980.98277364 725.08483555]
[  31.11679202 1105.40602885  683.81332645]
[  30.8341496  1175.36075241  707.01748556]
[  31.27264856 1201.18761456  715.13417824]
[  31.57115766 1228.73538764  723.23501633]
[  28.87269671 1477.76159682  650.00510425]
[  28.86959234 1520.40933558  637.57121723]
[  29.2936397  1604.90912466  614.01752009]
[  28.43160639 1679.24385572  593.63654808]
[  29.24931803 1749.75664768  612.96962723]
[  28.43737122 1819.77232768  593.7728454 ]
[  27.30356626 1899.60257541  573.02503864]
[  25.3079912  2038.32702101  538.39178994]
[  25.65411162 2542.58004122  414.31416923]
[  27.01589213 2685.61033978  380.81903714]
[  25.32572001 2863.13220991  422.39147702]
[  25.51804725 2883.33269173  417.66088628]
[  29.17518655 3051.38391916  379.13609424]
[  30.86308419 3098.78761908  368.50916178]
[  31.21683158 3110.9000937   365.93335035]
[  35.16328517 3247.34130727  341.48365997]
[  31.50668352 3373.76143499  364.137614  ]
[  30.86229448 3418.68871543  371.9716691 ]
[  29.76197003 3657.5835446   413.32991766]
[  29.5448157  3683.97119131  417.62782588]
[  27.56706302 3754.21266549  428.50002676]
[  29.02276768 3805.9131849   420.49765438]
[  41.23519955 4138.36833353  370.28272194]
[  45.50310927 4292.68256511  348.4660693 ]
[  47.23081489 4384.22002824  335.98285267]
[  49.10292513 4508.63257656  318.99394453]
[  48.8262379  4527.02004293  321.50480843]
[  48.30085685 4541.64050317  323.35334418]
[  47.8245437  4553.31085609  324.7519556 ]
[  55.71850173 4746.7241085   301.57270943]
[  64.19811798 4926.75905211  280.36593366]
[  67.40612942 5001.76913077  271.51488201]
[  68.56523617 5029.84029938  268.2726969 ]
[  73.32304066 5161.47381478  253.23607568]
[  74.95000606 5313.73949232  235.4752576 ]
[  76.85914213 5485.87324813  216.52183786]
[  77.73399457 5657.89267239  197.63170759]
[  77.99684133 5686.58179656  194.6585924 ]
[  70.93427668 6457.44462811  274.54475366]
[  70.02618667 6682.50756639  297.39332756]
[  69.71432504 6724.15718137  301.3991341 ]
[  69.62352707 6733.92443804  302.32830166]
[  69.86906322 6760.337083    299.81564393]
